Variable,P-value
DD_wavelet-HHH_glcm_Imc2,0.33106108220800423
DD_wavelet-HHH_glcm_SumEntropy,0.11741294957633192
DD_wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.1058973171339268
DD_wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.007557516961510165
DD_wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.16754644091387727
DD_wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.24242425422825473
DD_wavelet-HHH_glszm_SmallAreaEmphasis,0.2532860327827252
DD_wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.6544205954199055
DD_wavelet-LLL_glcm_Imc1,0.584916182795142
DD_wavelet-LLL_glcm_InverseVariance,0.9782539971726603
DD_wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.3685579642920384
DD_wavelet-LLL_glszm_SizeZoneNonUniformity,0.5069212895270069
DD_wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.9819619192615774
DD_wavelet-LLL_glszm_ZonePercentage,0.07444976354181305
DD_gradient_firstorder_Entropy,0.8485183672326537
DD_gradient_firstorder_Kurtosis,0.1637159059527189
DD_gradient_glcm_Correlation,0.6028567678223583
DD_gradient_glcm_Imc1,0.22709695402689967
DD_gradient_glrlm_LongRunEmphasis,0.003169603281086499
DD_gradient_glszm_GrayLevelNonUniformity,0.8732139852246263
DD_gradient_glszm_GrayLevelNonUniformityNormalized,0.5596733204904841
DD_gradient_glszm_LargeAreaEmphasis,0.04033469074414016
DD_gradient_glszm_LowGrayLevelZoneEmphasis,0.33106108220800423
DD_gradient_glszm_SizeZoneNonUniformityNormalized,0.9205681225058813
DD_gradient_glszm_SmallAreaEmphasis,0.6432681047307098
DD_gradient_glszm_SmallAreaLowGrayLevelEmphasis,0.9980552996618735
DD_gradient_glszm_ZoneVariance,0.03306595647110223
DD_gradient_gldm_DependenceEntropy,0.09041748324667273
DD_gradient_gldm_DependenceVariance,0.9348704684370158
DD_lbp-3D-m1_firstorder_10Percentile,0.6556692245753265
DD_lbp-3D-m1_firstorder_90Percentile,0.8485183672326537
DD_lbp-3D-m1_firstorder_Entropy,0.9272652260421381
DD_lbp-3D-m1_firstorder_Kurtosis,0.8485183672326537
DD_lbp-3D-m1_firstorder_Maximum,0.7892676909047432
DD_lbp-3D-m1_firstorder_Mean,0.630736409535838
DD_lbp-3D-m1_firstorder_Minimum,0.7992972775767636
DD_lbp-3D-m1_firstorder_Range,0.7439828504670267
DD_lbp-3D-m1_firstorder_Skewness,0.6353800982462714
DD_lbp-3D-m1_glcm_Autocorrelation,0.4933693135119907
DD_lbp-3D-m1_glcm_ClusterShade,0.3779760648462032
DD_lbp-3D-m1_glcm_Correlation,0.8585834046989931
DD_lbp-3D-m1_glcm_DifferenceEntropy,0.49207155666999725
